"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","1,448.00","1,459.00","1,438.00","1,462.75","1,448.50","1,445.75","1,448.12","1,702.05","1,317.25","12,31,247","1,78,29,88,152.20","60,429"
"10-Mar-2025","EQ","1,458.35","1,482.20","1,457.00","1,458.45","1,460.60","1,462.75","1,470.07","1,702.05","1,317.25","9,05,854","1,33,16,72,988.40","62,850"
"07-Mar-2025","EQ","1,465.95","1,471.10","1,451.55","1,461.75","1,459.00","1,458.45","1,459.35","1,702.05","1,317.25","6,78,497","99,01,63,473.30","41,555"
"06-Mar-2025","EQ","1,424.95","1,464.45","1,419.75","1,419.75","1,460.50","1,461.75","1,451.54","1,702.05","1,317.25","15,25,159","2,21,38,27,489.25","1,32,856"
"05-Mar-2025","EQ","1,395.10","1,431.90","1,393.10","1,401.80","1,418.75","1,419.75","1,418.82","1,702.05","1,317.25","21,87,830","3,10,41,34,575.10","1,13,840"
"04-Mar-2025","EQ","1,402.45","1,405.00","1,389.30","1,407.55","1,404.00","1,401.80","1,397.97","1,702.05","1,317.25","14,56,530","2,03,61,82,171.85","88,813"
"03-Mar-2025","EQ","1,400.00","1,418.10","1,396.00","1,407.50","1,407.00","1,407.55","1,405.24","1,702.05","1,317.25","8,54,264","1,20,04,45,725.05","66,799"
"28-Feb-2025","EQ","1,440.00","1,448.70","1,400.00","1,441.15","1,405.00","1,407.50","1,416.07","1,702.05","1,317.25","33,40,343","4,73,01,75,858.05","1,13,326"
"27-Feb-2025","EQ","1,452.00","1,464.30","1,436.00","1,463.35","1,438.50","1,441.15","1,445.35","1,702.05","1,317.25","12,60,808","1,82,23,13,973.65","1,02,761"
"25-Feb-2025","EQ","1,471.00","1,482.40","1,454.60","1,476.75","1,458.00","1,463.35","1,471.07","1,702.05","1,317.25","9,92,994","1,46,07,64,297.70","46,671"
"24-Feb-2025","EQ","1,460.00","1,489.00","1,457.60","1,475.75","1,476.55","1,476.75","1,477.92","1,702.05","1,317.25","14,03,090","2,07,36,50,070.45","78,568"
"21-Feb-2025","EQ","1,489.00","1,502.00","1,468.65","1,479.70","1,472.00","1,475.75","1,481.73","1,702.05","1,317.25","14,13,123","2,09,38,67,679.55","74,642"
